ぐんそうけんさ,軍裝檢査,名詞
ぐんそう,軍裝,名詞
ぐんじんしょういきしょう,軍人傷痍記章,名詞
ぐんじゆうびんかわせ,軍事郵便爲替,名詞
ぐんこくしゅぎ,軍國主義,名詞
ぐんきょう,軍橋,名詞
ぐんきじゅよしき,軍旗授與式,名詞
ぐんきさい,軍旗祭,名詞
ぐんきげいそうしき,軍旗迎送式,名詞
ぐんがくぶ,軍樂部,名詞
ぐんがくたい,軍樂隊,名詞
ぐんいそうかん,軍醫總監,名詞
ぐんいこ,軍醫袴,名詞
ぐんいかん,軍醫監,名詞
ぐんいがっこう,軍醫學校,名詞
くめつつ,組銃,名詞
くっかくさんぺいごう,掘擴散兵壕,名詞
くちく,驅逐,名詞
くうほうはっか,空包發火,名詞
くうほうしゃげき,空包射撃,名詞
くうだん,空彈,名詞
くうきこうりょく,空氣抗力,名詞
きんろう,勤勞,名詞
きんだん,近彈,名詞
きんしん,謹愼,名詞
きんけつしゅえいきんむ,禁闕守衛勤務,名詞
ぎょほうきょうれん,馭法敎練,名詞
きょしゅちゅうもくのけいれい,擧手注目ノ敬禮,名詞
きょじゅう,据銃,名詞
きょこくいっち,擧國一致,名詞
きょくだんめん,曲斷面,名詞
きょくせんしき,曲線式,名詞
きょくしゃほへいほう,曲射歩兵砲,名詞
きょうりょうしょう,橋梁哨,名詞
きょうほう,莢砲,名詞
きょうどうたい,敎導隊,名詞
きょうどうがっこう,敎導學校,名詞
きょうどういっち,協同一致,名詞
きょうどう,嚮導,名詞
きょうしょう,胸墻,名詞
きょうさほう,夾叉法,名詞
きょうさくようだんやく,狭窄用彈藥,名詞
